2.975	0.050	0.224
3.025	0.156	0.396
3.075	-0.028	0.167
3.125	0.078	0.280
3.175	0.078	0.280
3.225	0.313	0.559
3.276	0.128	0.358
3.326	0.235	0.484
3.376	0.235	0.484
3.426	0.285	0.534
3.476	0.128	0.358
3.526	0.363	0.603
3.576	0.492	0.701
3.626	0.464	0.681
3.676	-0.112	0.335
3.726	0.111	0.334
3.776	0.004	0.067
3.826	0.307	0.554
3.876	-0.341	0.584
3.926	0.240	0.490
3.976	0.201	0.448
4.026	0.698	0.836
4.076	0.301	0.549
4.126	0.452	0.672
4.176	0.994	0.997
4.226	0.553	0.743
4.276	0.849	0.921
4.326	1.106	1.052
4.376	0.637	0.798
4.426	0.167	0.409
4.476	1.799	1.341
4.526	1.056	1.027
4.577	0.128	0.358
4.627	0.563	0.751
4.677	0.608	0.780
4.727	-1.325	1.151
4.777	1.989	1.410
4.827	1.696	1.302
4.877	14.135	3.760
4.927	51.603	7.184
4.977	33.650	5.801
5.027	13.194	3.632
5.077	-3.919	1.980
5.127	4.747	2.179
5.177	4.107	2.027
5.227	-2.544	1.595
5.277	-1.797	1.341
5.327	-0.887	0.942
5.377	1.098	1.048
5.428	1.718	1.311
5.478	1.026	1.013
5.528	1.903	1.380
5.578	0.501	0.708
5.628	2.619	1.618
5.678	2.988	1.728
5.728	1.662	1.289
5.778	2.467	1.571
5.828	1.284	1.133
5.878	4.056	2.014
5.928	6.872	2.621
5.978	6.308	2.511
6.028	10.956	3.310
6.078	10.537	3.246
6.129	13.777	3.712
6.179	15.621	3.952
6.229	26.091	5.108
6.279	27.979	5.290
6.329	33.229	5.764
6.379	58.617	7.656
6.429	184.830	13.595
6.479	544.150	23.327
6.529	371.110	19.264
6.579	145.450	12.060
6.629	70.216	8.380
6.679	59.351	7.704
6.729	53.629	7.323
6.780	48.227	6.945
6.830	47.713	6.907
6.880	43.151	6.569
6.930	42.055	6.485
6.980	3.453	1.858
7.030	59.522	7.715
