  3.065    -0.189  
  3.115    -0.238  
  3.165    -0.189  
  3.214    -0.202  
  3.264    -0.053  
  3.314    -0.230  
  3.364    0.382   
  3.414    -0.226  
  3.464    -1.075  
  3.514    -0.563  
  3.564    -0.235  
  3.613    -0.198  
  3.663    -0.420  
  3.713    -0.650  
  3.763    0.261   
  3.813    -0.058  
  3.863    0.016   
  3.913    0.254   
  3.963    0.094   
  4.013    -0.201  
  4.062    0.135   
  4.112    0.303   
  4.162    0.295   
  4.212    -0.021  
  4.262    -0.012  
  4.312    -0.012  
  4.362    0.320   
  4.412    -0.008  
  4.462    0.144   
  4.511    -0.021  
  4.561    0.131   
  4.611    0.065   
  4.661    0.102   
  4.711    -0.083  
  4.761    -0.152  
  4.811    -0.337  
  4.861    -0.215  
  4.911    0.102   
  4.961    0.012   
  5.010    0.086   
  5.060    -0.053  
  5.110    -0.197  
  5.160    -0.025  
  5.210    0.000   
  5.260    -0.016  
  5.310    -0.021  
  5.360    -0.078  
  5.410    -0.037  
  5.460    -0.021  
  5.510    0.291   
  5.559    0.106   
  5.609    0.090   
  5.659    -0.066  
  5.709    -0.058  
  5.759    -0.337  
  5.809    0.466   
  5.859    0.903   
  5.909    1.588   
  5.959    -3.637  
  6.009    0.270   
  6.059    -0.103  
  6.109    -0.370  
  6.158    -0.265  
  6.208    0.076   
  6.258    -0.230  
  6.308    -0.846  
  6.358    -0.557  
  6.408    0.396   
  6.458    -0.424  
  6.508    0.060   
  6.558    -0.005  
  6.608    0.220   
  6.658    0.186   
  6.708    -0.249  
  6.758    -0.441  
  6.808    0.352   
  6.857    -0.185  
  6.907    -0.091  
  6.957    -0.053  
  7.007    0.131   
  7.057    -0.058  
  7.107    -0.283  
  7.157    0.409   
  7.207    0.180   
  7.257    -0.095  
  7.307    -0.062  
  7.357    -0.041  
  7.407    -0.041  
  7.457    0.591   
  7.507    0.053   
  7.557    0.045   
  7.607    -0.049  
  7.657    0.664   
  7.706    0.504   
  7.756    0.277   
  7.806    -0.326  
  7.856    0.975   
  7.906    4.354   
  7.956    4.379   
  8.006    4.526   
  8.056    3.700   
  8.106    4.596   
  8.156    -5.410  
  8.206    -6.611  
  8.256    -1.142  
  8.306    2.540   
  8.356    2.109   
  8.406    -0.496  
  8.456    1.385   
  8.506    2.463   
  8.556    4.606   
  8.606    22.099  
  8.656    71.339  
  8.706    85.540  
  8.756    59.859  
  8.806    34.707  
  8.856    11.136  
  8.906    7.725   
  8.955    2.939   
  9.005    0.725   
  9.055    1.094   
  9.105    0.220   
  9.155    0.495   
  9.205    0.752   
  9.255    0.673   
  9.305    0.136   
  9.355    4.884   
  9.405    22.579  
  9.455    47.895  
  9.505    45.485  
  9.555    29.420  
  9.605    18.999  
  9.655    23.671  
  9.705    20.479  
  9.755    11.393  
  9.805    3.976   
  9.855    1.458   
  9.905    1.512   
  9.955    0.614   
  10.005   0.065   
  10.055   -0.247  
  10.105   -0.202  
  10.155   0.669   
  10.205   -0.956  
  10.255   -0.331  
  10.305   0.049   
  10.355   0.326   
  10.405   -0.227  
  10.455   -0.293  
  10.505   -0.510  
  10.555   -0.305  
  10.605   0.131   
  10.655   -0.079  
  10.705   0.757   
  10.755   -0.106  
  10.805   -0.443  
  10.855   -0.701  
  10.905   0.408   
  10.955   -0.586  
  11.005   0.030   
  11.055   -0.047  
  11.105   -0.181  
  11.155   -0.598  
  11.205   0.185   
  11.255   -0.209  
  11.305   0.210   
  11.355   0.100   
  11.405   0.162   
  11.455   -1.968  
  11.505   0.253   
  11.555   -0.611  
  11.605   -0.729  
  11.655   0.121   
  11.705   -1.000  
  11.755   0.375   
  11.805   0.092   
  11.855   0.584   
  11.905   0.376   
  11.955   -0.034  
  12.005   -0.104  
  12.055   0.364   
  12.105   0.298   
  12.155   -0.293  
  12.205   0.168   
  12.255   0.478   
  12.305   1.357   
  12.355   2.007   
  12.405   4.386   
  12.456   2.906   
  12.506   1.569   
  12.556   0.613   
  12.606   0.884   
  12.656   0.244   
  12.706   0.936   
  12.756   0.065   
  12.806   0.865   
  12.856   2.845   
  12.906   2.660   
  12.956   1.219   
  13.006   1.819   
  13.056   1.565   
  13.106   2.479   
  13.156   1.601   
  13.206   1.421   
  13.256   0.179   
  13.306   1.232   
  13.356   -0.633  
  13.406   -0.875  
  13.456   0.832   
  13.506   0.475   
  13.556   0.381   
  13.606   2.757   
  13.656   2.508   
  13.707   0.554   
  13.757   1.627   
  13.807   1.704   
  13.857   5.376   
